"V1","V2","V3","V4","V5","V6"
54,44,25,14,29,29
25,29,26,13,34,35
33,23,29,13,33,33
32,36,33,31,32,27
23,42,35,29,14,29
26,53,35,16,17,36
19,44,35,2.1,13,42
22,38,38,17,13,39
27,42,45,21,15,42
25,47,44,39,16,38
26,50,55,41,31,16
27,37,58,39,27,23
25,26,40,44,15,18
23,22,26,37,19,34
26,24,29,27,31,42
18,42,34,28,32,33
30,40,33,30,45,26
34,24,35,21,39,15
22,27,45,29,33,21
23,17,41,30,31,22
14,22,15,9.1,28,26
16,36,10,11,30,29
13,48,17,13,32,26
29,32,16,19,37,32
29,32,20,25,33,40
29,36,27,25,26,43
27,40,30,15,27,29
29,33,43,8.2,31,34
26,29,57,19,32,29
24,41,56,28,23,47
18,53,27,31,33,49
